sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;98,25;98,50;100,00;100,00;98,25;98,25;99,183;25680;2547023;295;
2017-12-28;99,50;100,00;98,50;100,00;98,00;100,00;99,076;51700;5122221;421;
2017-12-27;98,50;98,75;99,75;100,00;98,00;98,75;98,722;60518;5974435;489;
2017-12-22;99,50;99,75;100,75;100,75;98,25;99,75;99,403;49596;4929974,5;438;
2017-12-21;99,00;99,50;99,25;100,00;98,25;99,75;99,268;49255;4889448,5;334;
2017-12-20;99,00;99,25;101,00;101,50;98,75;99,50;99,911;49927;4988231;440;
2017-12-19;100,75;101,00;102,00;102,00;100,50;101,00;101,197;27826;2815914;274;
2017-12-18;102,25;102,50;101,25;102,50;101,25;102,00;102,21;39325;4019424;353;
2017-12-15;101,25;101,50;102,75;102,75;101,00;101,00;101,352;46140;4676398;330;
2017-12-14;102,75;103,00;103,00;104,00;101,75;102,50;102,77;43612;4481992,75;384;
2017-12-13;102,75;103,00;102,75;103,00;102,50;103,00;102,705;44968;4618449,25;320;
2017-12-12;102,50;103,00;102,00;103,00;101,50;102,75;102,176;59699;6099807,75;369;
2017-12-11;102,00;102,25;102,00;102,50;101,25;102,00;101,791;52955;5390361,75;402;
2017-12-08;101,75;102,00;101,75;102,50;101,00;101,75;102,067;57087;5826686,25;399;
2017-12-07;101,25;101,50;99,75;102,50;99,25;101,75;101,282;242330;24540392,25;946;
2017-12-06;99,50;99,75;101,50;101,75;99,25;99,50;100,013;75096;7510283,25;639;
2017-12-05;102,00;102,25;101,25;102,50;100,50;102,50;101,595;77391;7862513,5;579;
2017-12-04;101,00;101,25;98,50;101,75;98,50;101,25;100,395;113532;11398039,25;950;
2017-12-01;97,00;97,25;97,25;97,75;95,75;96,75;96,879;70464;6826472,5;545;
2017-11-30;97,50;97,75;98,00;98,25;97,25;97,25;97,464;75936;7401308,5;398;
2017-11-29;98,25;98,50;98,00;99,00;98,00;98,25;98,326;26381;2593947,75;302;
2017-11-28;97,75;98,00;98,25;98,75;97,25;97,75;98,051;65066;6376413,63;449;
2017-11-27;98,75;99,00;99,00;99,50;98,00;98,00;98,831;70305;6948314;407;
2017-11-24;99,00;99,25;98,25;99,75;98,25;99,00;99,072;33753;3343959,25;330;
2017-11-23;98,00;98,25;98,25;98,50;97,50;98,25;98,052;14395;1411452;198;
2017-11-22;97,75;98,25;98,50;99,75;97,50;98,00;98,126;79300;7776406,63;567;
2017-11-21;98,25;98,50;98,00;98,50;97,25;98,50;97,87;51036;4994401,75;445;
2017-11-20;97,75;98,00;97,75;98,25;96,50;97,75;97,464;60599;5906222;495;
2017-11-17;97,75;98,00;97,75;98,25;96,50;98,00;97,353;45911;4469560,5;354;
2017-11-16;97,50;97,75;96,50;98,50;96,50;97,50;97,716;45617;4457528,5;381;
2017-11-15;96,50;96,75;98,50;98,50;95,50;96,25;96,347;54320;5233574,5;485;
2017-11-14;98,00;98,25;97,25;99,25;97,00;98,25;98,007;44211;4332977,25;356;
2017-11-13;96,75;97,25;99,50;99,50;95,75;96,50;97,193;60245;5855370;597;
2017-11-10;99,25;99,50;99,00;100,25;98,00;99,50;99,414;57465;5712826,75;431;
2017-11-09;99,00;99,25;103,00;103,50;98,75;99,00;100,596;71880;7230853,5;547;
2017-11-08;101,50;102,00;103,00;103,25;100,25;102,00;101,389;45513;4614525,25;348;
2017-11-07;102,00;102,50;104,25;104,25;101,25;102,25;102,504;43201;4428252;369;
2017-11-06;103,75;104,00;104,25;104,75;103,25;103,75;104,013;64380;6696343,75;373;
2017-11-03;104,25;104,50;103,00;104,50;103,00;104,25;103,749;190267;19740092,75;277;
2017-11-02;102,25;102,50;104,00;105,50;101,75;102,50;103,355;102815;10626487,5;748;
2017-11-01;103,75;104,00;103,25;104,25;102,25;103,75;103,209;62094;6408662,25;405;
2017-10-31;103,25;103,50;104,00;105,00;102,50;103,50;103,26;93096;9612946,5;488;
2017-10-30;104,00;104,25;105,00;105,50;104,00;104,25;104,817;97256;10194058,75;395;
2017-10-27;104,75;105,00;105,25;105,25;104,00;105,00;104,767;37295;3907266,25;323;
2017-10-26;104,75;105,00;103,00;105,00;102,50;104,50;103,629;43210;4477786,75;407;
2017-10-25;103,50;103,75;105,25;105,75;103,50;103,50;104,371;68818;7182571,25;465;
2017-10-24;105,00;105,50;105,50;106,00;104,50;105,25;105,25;20226;2128784,75;224;
2017-10-23;106,25;106,50;107,50;108,00;106,00;106,25;106,796;26553;2835749,75;230;
2017-10-20;107,75;108,00;105,75;108,00;105,00;108,00;106,866;73415;7845535,5;387;
2017-10-19;105,25;106,00;108,00;108,25;105,00;106,25;106,757;60979;6509935,75;402;
2017-10-18;108,75;109,00;107,50;110,25;107,00;109,00;108,87;62929;6851077,5;351;
2017-10-17;107,00;107,25;109,00;109,50;106,75;107,50;107,738;48338;5207821,25;439;
2017-10-16;109,00;109,25;111,00;111,00;108,75;109,00;109,501;39306;4304042,5;293;
2017-10-13;110,75;111,25;111,50;112,00;110,50;111,25;111,283;43761;4869872,75;373;
2017-10-12;111,25;111,75;110,00;112,00;109,25;111,25;110,701;38256;4234984;300;
2017-10-11;110,00;110,25;112,50;112,50;109,25;110,00;110,345;49150;5423449,5;352;
2017-10-10;112,25;112,75;111,50;113,00;110,50;112,25;112,071;65453;7335352,25;342;
2017-10-09;111,50;111,75;113,00;113,00;111,50;111,75;112,295;56869;6386078,5;337;
2017-10-06;113,25;113,50;114,50;114,50;112,00;113,50;113,109;101296;11457530;502;
2017-10-05;113,50;114,00;111,75;114,50;111,00;114,25;112,384;57924;6509742;339;
2017-10-04;111,25;111,75;112,00;113,00;110,75;111,50;111,689;79975;8932360,5;468;
2017-10-03;111,75;112,00;114,00;115,00;111,25;111,75;112,887;58569;6611672,75;548;
2017-10-02;113,25;113,50;112,00;113,50;111,50;113,50;112,797;67190;7578805,5;574;
2017-09-29;111,75;112,00;106,50;112,00;106,50;112,00;110,368;203887;22502542,75;867;
2017-09-28;106,50;107,00;107,50;107,75;106,00;106,50;106,807;96668;10324791,25;544;
2017-09-27;107,50;107,75;107,00;108,25;106,00;107,25;107,304;79551;8536172,25;473;
2017-09-26;106,50;107,25;107,25;107,50;106,00;106,75;106,694;58808;6274435,75;384;
2017-09-25;107,50;108,00;106,25;108,25;105,50;107,75;107,167;64552;6917869,5;435;
2017-09-22;106,00;106,25;105,00;107,50;104,25;106,25;106,137;114030;12102810;533;
2017-09-21;104,00;104,25;106,00;106,00;104,00;104,00;104,437;56673;5918760,5;376;
2017-09-20;105,25;105,50;105,00;106,00;104,75;105,50;105,591;102934;10868914,5;581;
2017-09-19;105,25;105,50;103,75;105,75;103,50;105,00;104,412;118867;12411172;721;
2017-09-18;103,50;103,75;101,50;103,75;101,25;103,75;102,498;88337;9053787,5;463;
2017-09-15;101,50;102,00;101,00;103,75;100,25;100,25;101,292;145686;14756784;449;
2017-09-14;101,75;102,25;100,75;102,50;100,75;101,75;101,789;35521;3615633,25;306;
2017-09-13;101,25;101,50;99,50;101,50;99,25;101,50;100,551;74673;7508417,75;344;
2017-09-12;99,50;100,00;99,75;100,50;99,50;99,75;99,937;27356;2733862;274;
2017-09-11;99,50;99,75;99,00;100,00;98,25;99,50;99,443;52547;5225433;342;
2017-09-08;98,25;98,75;97,75;99,50;97,25;98,75;98,394;47523;4675984,5;330;
