sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;297,00;298,00;299,50;299,50;295,00;298,00;298,64;935;279228,5;66;
2017-12-28;298,00;299,50;298,50;300,00;295,00;299,50;299,371;2386;714300;84;
2017-12-27;298,00;298,50;300,00;300,00;298,00;298,50;299,566;3789;1135056,5;118;
2017-12-22;294,50;298,00;294,50;300,00;290,00;294,50;296,238;2970;879827,5;105;
2017-12-21;291,50;292,00;294,50;294,50;287,00;292,00;291,476;1931;562841;71;
2017-12-20;291,00;293,00;291,00;293,50;287,00;291,00;289,965;1794;520197,5;83;
2017-12-19;288,50;290,00;292,00;292,00;288,00;289,50;289,855;2141;620579;104;
2017-12-18;292,00;294,00;300,00;300,50;290,00;292,00;293,214;5572;1633786,5;128;
2017-12-15;295,00;298,00;297,00;300,00;292,00;294,50;297,868;3251;968367,5;98;
2017-12-14;296,00;297,00;296,00;298,50;294,00;297,00;296,04;3029;896706,5;86;
2017-12-13;294,00;296,00;295,00;299,00;292,50;296,00;296,333;3015;893442,5;91;
2017-12-12;294,50;295,00;292,00;295,00;292,00;294,50;293,983;1433;421277;69;
2017-12-11;292,00;292,50;295,00;295,00;292,00;292,00;293,017;1480;433665;72;
2017-12-08;292,50;295,50;296,00;296,00;292,50;292,50;294,369;1325;390038,5;68;
2017-12-07;292,00;294,50;292,00;294,50;291,00;292,00;292,589;1225;358422;64;
2017-12-06;290,50;294,00;298,00;298,00;290,50;292,00;293,524;926;271803,5;61;
2017-12-05;293,50;294,00;295,00;299,00;291,00;294,00;295,162;2960;873680;113;
2017-12-04;295,00;296,00;296,50;300,00;295,00;295,00;297,563;3599;1070927,5;98;
2017-12-01;296,50;298,00;297,00;300,50;296,00;296,50;297,336;2525;750774,5;63;
2017-11-30;298,50;300,00;300,00;300,00;296,50;298,50;298,729;2455;733379;90;
2017-11-29;298,50;300,00;299,50;300,00;296,50;300,00;298,766;1588;474440,5;94;
2017-11-28;299,50;300,00;298,50;300,00;296,00;299,50;298,749;2230;666211;87;
2017-11-27;297,00;299,00;297,00;299,50;295,50;299,00;298,225;1939;578259;83;
2017-11-24;295,00;297,50;296,00;299,50;295,00;295,00;298,533;1745;520940,5;113;
2017-11-23;295,50;297,00;294,00;297,00;290,50;295,50;294,207;1688;496622;90;
2017-11-22;295,00;297,00;297,00;299,50;291,50;295,00;295,538;3739;1105018;92;
2017-11-21;290,50;294,50;289,50;295,50;289,50;293,00;292,505;4324;1264792,5;101;
2017-11-20;289,00;291,50;292,00;292,00;286,00;289,00;288,513;2571;741766;112;
2017-11-17;292,00;296,50;288,50;297,00;288,50;296,50;292,275;1257;367389,5;58;
2017-11-16;292,00;297,00;280,50;297,50;280,50;291,00;288,451;3550;1024001;102;
2017-11-15;280,50;284,00;280,00;288,00;278,00;280,00;281,031;2851;801219;133;
2017-11-14;280,50;282,50;283,50;290,50;280,50;280,50;283,492;2233;633038,5;129;
