sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;100,70;100,90;101,50;102,30;100,60;100,90;101,249;132701;13435727;1021;
2017-12-28;101,50;101,60;102,60;103,00;101,30;101,50;102,055;205685;20991240,7;1225;
2017-12-27;102,30;102,50;102,90;104,00;102,20;102,50;103,001;287268;29588765,6;1644;
2017-12-22;102,80;103,00;103,70;104,00;102,70;102,90;103,189;97658;10077186,7;823;
2017-12-21;103,40;103,50;103,00;104,30;102,50;103,60;103,471;146404;15148521,9;793;
2017-12-20;102,80;103,00;103,10;103,80;102,70;103,00;103,247;147995;15280165,4;875;
2017-12-19;102,70;102,90;103,30;103,90;102,80;103,00;103,378;147515;15249597,7;838;
2017-12-18;103,50;103,70;102,40;103,90;102,40;103,50;103,306;204110;21085567,6;1123;
2017-12-15;101,90;102,10;102,80;102,80;101,10;102,30;101,837;205658;20943557,5;1014;
2017-12-14;102,70;102,90;103,20;103,50;102,30;102,80;102,996;205134;21127958,1;910;
2017-12-13;103,20;103,40;102,40;103,40;102,20;103,20;102,948;149809;15421341,4;842;
2017-12-12;102,20;102,40;102,60;103,20;101,70;102,40;102,275;143018;14627165,6;780;
2017-12-11;102,40;102,60;101,10;102,80;101,00;102,50;101,88;227847;23212893,9;1059;
2017-12-08;101,00;101,20;101,00;101,80;100,40;100,90;100,95;215025;21706542,85;1130;
2017-12-07;100,30;100,40;100,80;101,60;100,30;100,30;100,81;266174;26833454,1;977;
2017-12-06;100,90;101,00;101,10;101,30;100,30;100,80;100,749;208053;20961094,3;1328;
2017-12-05;101,60;101,70;101,50;102,30;101,20;101,70;101,75;225631;22957873,25;1345;
2017-12-04;101,60;101,80;101,90;102,40;101,00;101,80;101,708;214185;21784227,5;1235;
2017-12-01;100,90;101,00;102,40;102,40;100,70;100,90;101,231;258004;26117933,1;1653;
2017-11-30;101,60;101,80;101,90;102,50;101,30;102,50;102,127;435843;44509266,95;1556;
2017-11-29;102,00;102,20;102,90;103,40;101,80;102,00;102,407;201768;20662474,2;1441;
2017-11-28;102,40;102,60;101,90;103,10;101,70;102,80;102,573;159922;16403874;1139;
2017-11-27;101,90;102,00;102,90;103,40;101,40;101,90;102,238;208866;21353994,85;1717;
2017-11-24;102,80;102,90;103,30;103,80;102,60;102,90;103,124;136894;14117584,7;1146;
2017-11-23;103,00;103,20;103,60;103,60;102,30;103,20;103,001;268070;27618515,8;1223;
2017-11-22;103,60;103,70;106,00;106,20;103,50;103,60;104,177;245930;25619895,5;1288;
2017-11-21;105,50;105,70;103,70;105,90;103,30;105,70;104,823;259573;27209141,2;1495;
2017-11-20;103,20;103,40;103,00;103,90;102,20;103,50;103,203;167594;17296275,4;1078;
2017-11-17;102,90;103,10;104,10;104,20;102,70;103,00;103,395;225041;23268065,1;1352;
2017-11-16;103,60;103,80;102,60;104,40;102,60;103,60;103,377;187803;19414415,8;1147;
2017-11-15;102,50;102,60;103,50;103,80;101,00;102,50;102,184;260311;26599631,3;1383;
2017-11-14;103,20;103,40;102,70;104,20;102,60;103,40;103,586;238875;24744080,2;1334;
2017-11-13;102,70;102,90;104,60;104,60;101,50;102,60;102,534;309544;31738935,3;1983;
2017-11-10;104,40;104,60;104,50;104,90;103,40;104,30;104,043;171332;17825884;1079;
2017-11-09;104,40;104,70;105,20;106,80;104,20;104,30;105,465;446976;47140185,6;2206;
2017-11-08;104,90;105,00;110,40;110,40;104,80;104,80;106,862;583848;62396320,2;3102;
2017-11-07;110,60;110,70;112,10;113,20;110,40;110,50;111,395;474473;52853699,9;2515;
2017-11-06;112,30;112,40;115,30;115,40;112,00;112,40;113,282;351469;39814999;2204;
2017-11-03;115,10;115,20;114,10;115,30;114,10;115,30;115,08;132950;15299865,5;932;
2017-11-02;113,90;114,10;114,30;114,40;112,10;114,00;113,455;506584;57480248,19;2661;
2017-11-01;115,50;115,60;116,40;116,60;115,30;115,60;115,967;408845;47412513,4;2268;
2017-10-31;116,20;116,40;115,70;117,00;115,70;116,30;116,545;252964;29481742,5;1413;
2017-10-30;115,30;115,40;116,00;116,50;115,10;115,10;115,802;246853;28586174,4;1492;
2017-10-27;115,70;115,90;115,10;116,10;115,10;115,90;115,708;190118;21998584,15;1231;
2017-10-26;114,80;115,00;114,10;115,00;113,40;115,00;114,07;234846;26788937,9;1705;
2017-10-25;113,80;114,00;114,20;114,80;113,60;113,80;114,179;173144;19769434,1;1248;
2017-10-24;114,10;114,30;114,20;114,60;113,70;114,20;114,137;128354;14649953,8;1006;
2017-10-23;114,00;114,20;114,50;114,60;113,80;114,20;114,215;121672;13896762;1053;
2017-10-20;114,30;114,40;114,50;114,90;113,80;114,60;114,29;244272;27917891,8;1343;
2017-10-19;114,30;114,50;115,70;115,70;113,40;114,50;114,31;147049;16807992,1;871;
2017-10-18;114,80;115,00;115,10;115,80;114,10;115,00;115,167;120537;13882138,1;786;
2017-10-17;114,60;114,80;115,70;116,00;114,30;114,90;115,076;172741;19878372,6;1131;
2017-10-16;115,50;115,70;115,50;116,10;115,10;115,80;115,603;146144;16894648;943;
2017-10-13;115,60;115,90;115,50;116,00;115,00;115,50;115,655;132378;15310208,8;960;
2017-10-12;115,40;115,60;114,00;115,90;113,70;115,60;115,024;194169;22334023,7;975;
2017-10-11;113,90;114,10;113,50;114,30;113,30;114,00;113,866;114224;13006167,3;837;
2017-10-10;113,60;113,90;112,90;114,00;112,50;113,80;113,565;229132;26021402,4;1185;
2017-10-09;112,70;112,90;112,50;113,80;112,50;112,80;113,027;132181;14940051,8;938;
2017-10-06;112,30;112,50;112,70;113,00;111,60;112,50;112,221;192585;21612007,1;1192;
2017-10-05;112,50;112,60;112,80;112,80;111,30;112,70;111,928;283974;31784723,3;1822;
2017-10-04;113,20;113,40;112,30;113,50;112,10;113,30;112,776;129508;14605451,6;1018;
2017-10-03;112,20;112,30;111,00;112,80;110,90;112,30;111,83;238658;26688207,35;1082;
2017-10-02;110,70;110,90;110,50;111,70;110,50;110,90;111,033;129491;14377811,2;1026;
2017-09-29;109,90;110,10;109,30;110,70;109,30;110,30;109,904;173394;19056621,2;1157;
2017-09-28;109,10;109,40;108,80;109,50;107,90;109,30;108,725;148070;16098476,55;1023;
2017-09-27;107,80;108,10;107,70;108,40;107,20;107,90;107,974;172876;18666153;1296;
2017-09-26;107,50;107,70;108,70;108,70;106,40;107,50;107,188;240600;25790606,7;1935;
2017-09-25;108,90;109,10;109,70;109,90;108,00;108,80;108,865;237607;25867101,9;1587;
2017-09-22;109,50;109,70;109,40;110,10;109,00;109,40;109,62;131462;14410868,2;936;
2017-09-21;109,40;109,60;109,00;110,00;108,40;109,40;109,472;159875;17501826,2;1011;
2017-09-20;108,10;108,30;108,00;108,70;107,30;108,00;108,113;100583;10874282,3;889;
2017-09-19;107,70;107,80;107,80;108,40;107,20;107,70;107,835;136301;14698015,8;1048;
2017-09-18;107,20;107,50;107,10;108,00;106,80;107,20;107,465;125221;13456924,3;1062;
2017-09-15;105,90;106,10;107,00;108,00;106,00;106,00;106,965;207163;22159168,9;1554;
2017-09-14;106,10;106,30;105,00;106,50;104,30;106,40;105,873;253596;26849119,2;1200;
2017-09-13;104,00;104,20;104,50;105,10;103,30;104,10;104,32;152733;15933886,6;1099;
2017-09-12;102,70;103,00;103,00;104,30;102,50;103,10;103,276;102044;10538703,3;922;
2017-09-11;102,30;102,60;101,70;103,00;101,70;102,50;102,476;71376;7314332,6;731;
2017-09-08;101,60;101,70;100,20;101,80;100,20;101,60;101,089;70171;7093493,5;533;
2017-09-07;100,40;100,70;100,30;101,00;99,95;100,90;100,513;68368;6871840,8;758;
2017-09-06;100,10;100,30;100,40;100,40;99,20;100,30;99,841;84119;8398506,9;795;
2017-09-05;100,20;100,40;100,60;101,30;100,20;100,40;100,708;81217;8179168,4;694;
2017-09-04;100,40;100,60;100,10;100,60;99,55;100,30;100,038;84900;8493077,55;873;
2017-09-01;101,20;101,40;101,30;102,10;101,00;101,30;101,669;76465;7774141,1;754;
2017-08-31;100,60;100,70;99,00;101,30;98,85;100,90;100,251;98995;9924357,15;727;
2017-08-30;98,70;98,90;98,90;99,40;98,75;99,00;99,095;135356;13413280,9;1098;
2017-08-29;98,40;98,55;100,50;100,50;98,00;98,55;98,626;169647;16731514,9;1792;
2017-08-28;100,50;100,80;101,10;101,50;100,10;100,90;100,725;61521;6196679,6;725;
2017-08-25;101,00;101,20;100,90;101,90;100,40;101,10;101,137;80030;8094028,9;903;
2017-08-24;100,80;100,90;102,80;102,80;100,30;100,90;101,267;199026;20157159,6;1013;
2017-08-23;102,30;102,40;103,00;103,40;101,20;102,50;102,523;121842;12491398,35;887;
2017-08-22;102,10;102,30;102,50;104,00;102,10;102,30;102,983;188237;19383277,75;1458;
2017-08-21;101,30;101,40;100,80;101,50;100,50;101,40;100,988;78333;7910926;806;
2017-08-18;100,70;101,00;102,00;102,00;99,90;101,00;100,628;117084;11781947,6;1084;
2017-08-17;102,50;102,70;102,60;103,20;102,20;102,30;102,692;94786;9733792;774;
2017-08-16;102,80;103,00;102,30;103,50;102,10;102,60;102,782;51120;5254229;454;
2017-08-15;102,30;102,60;102,50;103,00;102,00;102,30;102,495;69869;7161189,7;627;
2017-08-14;103,00;103,30;100,90;103,70;100,80;103,20;102,808;121637;12505219,9;1114;
2017-08-11;100,80;100,90;100,70;101,60;99,25;100,90;100,32;153740;15423174,35;1494;
2017-08-10;102,10;102,30;104,40;104,50;102,00;102,40;103,087;110833;11425426,6;1012;
2017-08-09;103,60;103,90;104,50;104,50;103,30;103,80;103,917;112086;11647620;884;
2017-08-08;104,30;104,40;105,50;105,50;104,10;104,50;104,707;101495;10625148,2;948;
2017-08-07;105,20;105,30;105,00;106,30;105,00;105,30;105,428;100119;10555312,6;800;
2017-08-04;104,40;104,70;104,60;105,20;103,90;104,70;104,36;72332;7548581,9;608;
2017-08-03;104,30;104,60;105,70;106,40;104,20;104,60;105,056;68013;7145181,2;792;
2017-08-02;105,60;105,70;105,00;106,50;104,40;105,60;105,606;90928;9602562,2;906;
2017-08-01;104,50;104,80;103,00;105,00;103,00;104,90;104,306;76655;7995547,2;767;
2017-07-31;102,70;102,90;102,60;103,40;102,20;102,90;102,961;62137;6397713,9;969;
2017-07-28;102,30;102,60;104,00;104,00;101,60;102,80;102,34;90433;9254760;1075;
2017-07-27;103,20;103,50;103,50;104,50;103,20;103,20;103,747;54151;5618004,6;716;
2017-07-26;103,00;103,20;102,40;103,70;101,40;103,00;102,503;124076;12718173,3;881;
2017-07-25;102,20;102,40;101,70;102,80;101,70;102,20;102,368;73529;7526977,7;933;
2017-07-24;102,00;102,20;103,30;103,30;101,20;101,70;102,128;82762;8452395,8;954;
2017-07-21;102,60;102,90;103,30;104,10;102,20;102,80;102,962;66079;6803615,7;867;
2017-07-20;103,70;104,00;103,20;104,90;102,60;104,10;103,907;101148;10509929,2;1021;
2017-07-19;103,80;104,00;105,20;105,20;102,00;103,70;103,388;170470;17624421;1406;
2017-07-18;105,00;105,20;107,70;107,70;104,90;105,50;105,834;98415;10415621,4;971;
2017-07-17;106,90;107,00;106,00;107,10;105,80;107,00;106,589;101261;10793282,1;876;
2017-07-14;105,60;105,90;104,90;106,10;104,30;105,80;105,454;84955;8958837,5;705;
2017-07-13;104,90;105,00;105,50;106,10;104,70;104,80;105,395;89003;9380441,8;844;
2017-07-12;105,40;105,60;104,20;105,70;103,80;105,30;104,793;101753;10663025,55;880;
