sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;611,50;612,00;614,00;616,50;611,50;613,00;613,444;38598;23677692;646;
2017-12-28;612,50;613,00;617,00;617,50;612,50;614,00;614,119;37876;23260358,5;673;
2017-12-27;615,00;615,50;615,00;619,00;613,00;616,00;615,697;45926;28276493,5;870;
2017-12-22;614,50;615,00;617,50;620,50;613,00;615,50;615,809;71568;44065529;1037;
2017-12-21;618,50;619,00;617,00;619,50;614,00;619,50;618,107;66901;41351996;995;
2017-12-20;616,50;618,00;623,50;624,50;616,50;619,00;620,791;63131;39191152,5;1171;
2017-12-19;622,50;623,00;629,50;629,50;623,00;623,50;624,856;77218;48250150,75;1056;
2017-12-18;628,50;629,50;626,00;630,50;626,00;630,00;628,512;78571;49382705;1270;
2017-12-15;623,50;624,00;622,00;625,50;616,50;625,50;623,397;100664;62753649,75;1571;
2017-12-14;621,50;622,50;624,50;626,50;620,50;623,00;623,482;67277;41946144,5;1013;
2017-12-13;625,00;626,00;624,50;626,50;622,50;626,50;625,306;64771;40501607,75;1095;
2017-12-12;622,50;623,50;619,00;624,50;617,00;624,50;622,161;79667;49565170,25;1128;
2017-12-11;618,50;619,50;613,00;623,00;613,00;619,00;618,885;63930;39564789,75;1062;
2017-12-08;613,50;614,50;613,00;616,50;613,00;613,00;614,273;71111;43681485;1271;
2017-12-07;613,50;614,50;614,00;618,00;613,00;613,50;614,597;40149;24675463,5;820;
2017-12-06;615,50;616,00;615,50;616,50;609,50;614,50;613,565;73458;45071225,5;1543;
2017-12-05;619,50;620,50;621,50;625,50;615,50;618,00;619,529;85239;52808207,5;1301;
2017-12-04;623,50;624,50;618,50;625,50;618,00;622,50;622,449;68012;42333940;1227;
2017-12-01;617,50;618,00;614,00;622,50;612,00;616,00;617,294;136328;84154410,25;2364;
2017-11-30;615,00;615,50;620,50;624,00;614,00;614,00;616,587;228680;141001303,75;2214;
2017-11-29;621,50;622,00;623,50;626,00;620,50;620,50;623,324;74592;46495443;1290;
2017-11-28;623,00;623,50;618,00;623,50;618,00;622,00;621,37;59759;37132425;889;
2017-11-27;619,00;620,00;620,00;623,50;616,00;618,00;619,497;66773;41367278,5;1261;
2017-11-24;619,50;620,00;621,50;624,00;616,00;620,50;620,743;79253;49195749;1245;
2017-11-23;621,50;622,00;625,00;626,50;620,00;621,50;623,092;62567;38984788,75;1186;
2017-11-22;626,00;627,00;639,00;642,00;624,00;625,00;630,304;109122;68779975,5;1730;
2017-11-21;640,00;641,00;636,50;646,50;632,50;639,50;641,396;92730;59476603,5;1380;
2017-11-20;637,00;637,50;638,00;639,50;632,00;637,50;637,462;67404;42967496,5;1397;
2017-11-17;639,50;640,00;640,00;643,00;637,50;640,00;640,113;55994;35841652;1072;
2017-11-16;641,00;641,50;632,00;642,50;631,50;641,00;638,429;48235;30794610;984;
2017-11-15;630,50;631,00;632,00;632,50;625,00;630,00;629,049;85564;53823920,5;1355;
2017-11-14;630,50;631,50;630,50;636,50;630,50;632,00;632,85;52087;32963234;954;
2017-11-13;630,00;631,00;638,50;639,50;627,00;631,00;631,153;71421;45077590;1400;
2017-11-10;638,00;638,50;637,00;639,50;635,50;638,00;637,738;56431;35988214,5;920;
2017-11-09;636,50;637,50;648,00;648,00;636,50;637,50;640,301;60927;39011994,75;1140;
2017-11-08;646,50;647,00;649,00;650,50;641,50;647,50;646,602;71646;46326438,25;1154;
2017-11-07;652,00;653,00;657,00;658,50;649,50;649,50;652,836;95277;62200235,5;1243;
2017-11-06;655,50;656,50;660,00;665,00;655,00;656,50;658,036;37105;24416414,5;736;
2017-11-03;658,50;659,00;654,00;660,50;653,50;660,00;658,623;23857;15712766;457;
2017-11-02;653,50;654,50;655,00;656,50;650,50;654,00;653,227;39792;25993578,5;809;
2017-11-01;654,00;655,00;653,50;659,00;653,50;654,00;655,268;57762;37849783;1163;
2017-10-31;653,50;654,50;651,50;658,50;651,00;653,50;654,592;66619;43608272;1008;
2017-10-30;650,50;651,50;653,50;654,50;650,00;650,00;651,302;37071;24144415;764;
2017-10-27;653,50;654,50;651,50;655,50;649,50;654,00;653,262;63992;41803663;1280;
2017-10-26;651,50;652,50;639,00;652,00;637,00;652,00;647,25;65683;42513310,75;1217;
2017-10-25;638,50;639,50;643,50;644,50;638,00;639,50;640,659;97263;62312895,5;1493;
2017-10-24;644,50;645,00;644,00;647,50;642,00;643,50;644,517;83954;54109739,5;1349;
2017-10-23;645,00;645,50;647,50;651,00;645,00;645,00;647,554;57786;37419739;1109;
2017-10-20;648,00;648,50;644,00;648,50;643,50;648,00;647,057;78657;50895549,5;1242;
2017-10-19;643,50;644,00;647,00;649,00;641,00;643,00;643,256;44692;28748378,5;912;
2017-10-18;648,50;649,00;644,00;650,00;642,00;647,00;647,31;70533;45656326,5;1076;
2017-10-17;644,50;645,50;645,50;648,00;643,00;644,50;644,884;77819;50184178,25;1014;
2017-10-16;645,50;646,00;649,00;650,00;643,00;646,00;645,769;42362;27355514;808;
2017-10-13;649,50;650,50;650,00;650,50;646,50;649,00;648,976;42912;27848863,5;970;
2017-10-12;647,00;648,00;644,00;649,50;639,00;648,50;646,516;56111;36276658;1151;
2017-10-11;646,50;647,00;645,00;650,50;644,00;645,00;645,838;111219;71830584;1309;
2017-10-10;645,00;645,50;646,00;646,50;641,50;646,00;644,452;57138;36822681,5;1118;
2017-10-09;645,00;645,50;645,50;648,00;643,00;646,00;645,091;44404;28644515,75;851;
2017-10-06;645,00;645,50;648,00;651,50;644,50;645,50;646,792;45748;29589433;914;
2017-10-05;647,00;648,00;643,00;648,50;642,50;647,50;646,333;55641;35962608;991;
2017-10-04;644,00;644,50;647,00;647,50;643,00;644,50;644,327;52004;33507555,5;1019;
2017-10-03;643,00;643,50;648,00;649,50;643,00;644,00;645,505;73057;47158617,75;1261;
2017-10-02;648,00;649,00;653,50;657,00;648,00;649,00;650,036;62907;40892078,5;1126;
2017-09-29;650,00;650,50;641,00;651,00;639,50;651,00;646,119;59736;38596535,5;1100;
2017-09-28;640,00;640,50;639,00;640,50;634,50;640,50;637,949;46657;29764883;1014;
2017-09-27;638,00;639,00;637,50;639,00;636,00;637,50;637,521;47915;30546842;1108;
2017-09-26;637,00;637,50;641,00;643,00;634,50;636,50;636,992;62775;39987160,5;1307;
2017-09-25;639,50;640,50;635,00;642,00;632,50;640,00;638,754;65673;41948879;1369;
2017-09-22;634,00;634,50;631,00;636,00;627,50;634,00;633,113;57805;36597101,5;1315;
2017-09-21;630,00;631,00;631,50;632,50;629,50;631,00;630,918;52730;33268279,75;1052;
2017-09-20;629,50;630,00;633,00;634,00;628,00;630,00;629,905;52022;32765043;908;
2017-09-19;632,00;633,00;630,50;635,00;630,00;631,50;632,62;44748;28308545,25;959;
2017-09-18;629,50;630,50;629,00;632,50;627,50;630,50;630,348;39386;24826897;880;
2017-09-15;624,50;625,00;628,00;631,50;624,50;627,50;627,554;123036;77211525,25;1427;
2017-09-14;627,00;628,00;626,00;629,00;625,50;627,00;627,197;42296;26527906;818;
2017-09-13;625,00;626,00;627,00;627,50;624,00;624,50;624,82;55388;34607933;928;
2017-09-12;626,50;627,00;627,00;630,00;623,50;626,00;626,593;64275;40274253,5;1332;
