sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;131,25;131,50;129,50;131,75;129,50;131,75;130,565;13678;1785873,75;213;
2017-12-28;131,00;131,25;131,00;131,50;129,25;131,50;130,525;13458;1756601,75;221;
2017-12-27;130,50;131,00;129,50;131,50;129,50;131,00;130,415;22324;2911388,25;265;
2017-12-22;130,75;131,50;131,00;132,25;130,25;131,50;131,411;11765;1546054,25;215;
2017-12-21;130,75;131,00;129,75;131,00;129,50;130,75;130,159;16158;2103103;162;
2017-12-20;130,25;130,75;130,00;131,50;129,75;130,75;130,684;29294;3828260,5;289;
2017-12-19;130,50;131,00;131,00;131,75;130,25;130,50;130,615;21100;2755981,25;190;
2017-12-18;131,75;132,00;131,00;132,00;130,25;131,75;131,334;31121;4087240,25;718;
2017-12-15;129,75;130,25;134,25;134,25;129,00;132,00;131,288;55092;7232896,25;394;
2017-12-14;134,25;134,50;129,50;135,00;128,00;134,25;132,647;56779;7531536,25;430;
2017-12-13;129,25;129,50;130,50;130,50;127,50;129,50;128,741;25548;3289083,5;347;
2017-12-12;129,50;130,25;130,50;130,50;129,25;130,25;129,722;12779;1657721,5;258;
2017-12-11;130,00;130,50;130,50;131,00;129,75;130,50;130,252;9215;1200276,25;138;
2017-12-08;130,50;130,75;129,75;130,75;129,00;130,25;129,708;22642;2936854,75;236;
2017-12-07;129,50;129,75;129,25;130,25;129,00;130,00;129,643;13881;1799574,5;221;
2017-12-06;129,00;129,50;131,00;131,00;128,25;129,00;129,243;24423;3156489,25;320;
2017-12-05;131,50;131,75;130,25;132,75;130,25;131,50;131,58;24015;3159889,5;225;
2017-12-04;133,00;133,50;131,50;133,50;130,75;133,25;132,164;18720;2474038,75;349;
2017-12-01;131,25;132,00;134,00;134,00;131,25;131,50;132,521;8296;1099397,75;185;
2017-11-30;132,25;132,50;132,00;133,50;132,00;133,50;132,77;28351;3764164;245;
2017-11-29;131,00;131,75;131,50;133,25;131,00;131,50;132,129;14099;1862880;222;
2017-11-28;131,75;132,00;130,75;132,00;130,75;131,75;131,584;9169;1206492,75;156;
2017-11-27;131,50;131,75;132,25;133,50;130,75;130,75;132,046;15765;2081696,75;309;
2017-11-24;131,75;132,00;132,25;133,75;131,00;132,00;131,658;5810;764934,5;194;
2017-11-23;131,50;132,00;133,75;134,50;131,50;131,75;132,524;17825;2362243;251;
2017-11-22;133,25;133,50;132,25;134,50;130,75;133,75;133,559;22731;3035925,25;320;
2017-11-21;132,50;133,00;130,50;133,25;130,50;132,50;131,784;10998;1449358,75;216;
2017-11-20;130,25;130,50;131,50;131,50;130,00;130,50;130,698;14264;1864281,25;285;
2017-11-17;132,00;132,50;131,75;132,50;131,50;131,75;131,917;21215;2798620,5;245;
2017-11-16;131,00;131,50;129,50;132,25;128,00;131,50;130,753;20237;2646044,25;295;
2017-11-15;129,25;129,75;130,25;130,25;125,00;129,75;128,787;32959;4244677;399;
2017-11-14;130,50;130,75;129,25;131,25;129,00;130,50;130,516;11217;1463996;186;
2017-11-13;129,50;130,00;131,00;131,50;128,75;129,50;130,074;36272;4718048,5;370;
2017-11-10;132,00;132,25;130,25;132,75;130,00;132,00;131,601;22289;2933261,5;204;
2017-11-09;130,25;130,50;131,00;131,00;129,75;130,50;130,313;19728;2570820,88;319;
2017-11-08;130,50;131,25;132,00;132,75;130,00;131,00;130,982;22299;2920769,25;308;
