sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;35,82;35,86;36,06;36,49;35,75;35,84;36,015;711246;25615543,26;1486;
2017-12-28;36,00;36,06;36,24;36,29;35,94;36,10;36,098;869221;31376353,27;1516;
2017-12-27;36,34;36,36;36,01;36,55;36,01;36,35;36,281;576220;20905722,92;1378;
2017-12-22;35,99;36,08;36,18;36,69;36,00;36,10;36,311;923999;33550991,8;1854;
2017-12-21;36,16;36,20;35,35;36,39;35,35;36,20;35,972;1474243;53019146,56;2207;
2017-12-20;35,33;35,39;35,72;35,91;35,33;35,44;35,608;1026782;36561235,48;1283;
2017-12-19;35,70;35,74;35,77;36,52;35,70;35,72;35,952;953518;34280962,11;1708;
2017-12-18;35,66;35,69;35,50;35,85;35,32;35,81;35,667;1265246;45127590,19;2146;
2017-12-15;35,49;35,53;35,74;35,89;35,11;35,55;35,485;1180220;41880193,69;1916;
2017-12-14;35,82;35,86;35,60;36,10;35,25;35,79;35,799;1441641;51606247,23;2593;
2017-12-13;35,61;35,64;38,15;38,20;35,40;35,60;35,906;3791393;136105422,48;6896;
2017-12-12;38,00;38,05;37,85;38,25;37,73;38,09;37,989;575234;21853021,26;1116;
2017-12-11;37,62;37,67;36,86;38,18;36,86;37,69;37,601;970880;36505866,64;1657;
2017-12-08;36,95;36,99;36,72;37,12;36,70;36,86;36,871;464475;17125635,66;978;
2017-12-07;36,62;36,66;36,56;37,09;36,55;36,71;36,746;688299;25292299,46;1434;
2017-12-06;36,56;36,61;37,00;37,00;36,56;36,56;36,723;396495;14560463,67;1086;
2017-12-05;37,26;37,31;37,00;37,31;36,67;37,30;37,064;735080;27244633,62;1116;
2017-12-04;36,88;36,92;36,65;37,12;36,36;36,87;36,745;596585;21921395,97;1157;
2017-12-01;36,65;36,73;36,91;37,00;36,43;36,59;36,686;513071;18822571,72;1271;
2017-11-30;36,87;36,91;37,10;37,34;36,75;36,86;36,994;884323;32714878,08;1485;
2017-11-29;37,09;37,12;36,66;37,23;36,66;37,14;37,028;585966;21697144,23;1231;
2017-11-28;36,57;36,63;36,23;36,98;36,20;36,66;36,589;766324;28038962,74;2422;
2017-11-27;36,26;36,31;36,50;36,63;36,24;36,35;36,432;431327;15713945,51;1070;
2017-11-24;36,42;36,45;36,20;36,50;36,15;36,50;36,334;317918;11551061,25;707;
2017-11-23;36,23;36,27;36,50;36,50;36,10;36,22;36,226;437524;15849730,32;1123;
2017-11-22;36,58;36,62;36,70;36,73;36,35;36,54;36,575;507597;18565391,41;1278;
