sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;99,00;99,25;100,50;101,00;99,00;99,25;99,871;20495;2046861;417;
2017-12-28;100,25;100,50;102,25;103,00;100,25;100,25;100,832;20855;2102841,5;338;
2017-12-27;100,25;100,50;99,00;101,25;99,00;100,25;100,25;27273;2734129;535;
2017-12-22;98,00;98,25;99,25;100,25;97,50;98,00;98,675;13739;1355696,25;404;
2017-12-21;99,00;100,00;98,50;99,75;97,25;99,00;97,972;30973;3034484;479;
2017-12-20;98,50;98,75;99,00;100,00;98,50;98,50;99,184;16569;1643371,25;265;
2017-12-19;99,00;99,50;99,00;99,50;98,50;99,50;98,885;23345;2308472,25;328;
2017-12-18;99,00;99,25;99,50;100,75;99,00;99,00;99,518;29393;2925124,5;376;
2017-12-15;99,25;99,50;100,00;101,50;99,25;99,25;99,741;23470;2340912,5;432;
2017-12-14;101,50;102,00;100,25;102,75;100,00;101,75;101,13;26502;2680135,25;283;
2017-12-13;102,00;102,25;102,50;102,50;100,75;102,00;101,711;26978;2743955,5;336;
2017-12-12;103,00;103,50;103,25;104,25;102,50;103,50;103,319;18140;1874211;198;
2017-12-11;102,75;103,00;102,75;104,25;102,00;103,00;102,697;36914;3790952;267;
2017-12-08;102,50;102,75;100,00;103,00;100,00;102,75;102,478;16434;1684119,5;203;
2017-12-07;100,75;101,50;101,50;102,25;99,00;101,50;100,713;25536;2571803,5;381;
2017-12-06;102,25;102,75;103,50;103,50;100,75;102,25;101,598;20810;2114262,5;289;
2017-12-05;102,75;103,50;104,25;104,50;102,25;103,25;103,283;16818;1737007,5;231;
2017-12-04;104,25;104,50;103,50;105,00;102,50;104,25;103,738;27026;2803609;298;
2017-12-01;102,75;103,25;104,75;105,00;102,00;102,75;103,293;23304;2407143,5;322;
2017-11-30;104,25;104,50;105,00;105,00;104,00;104,50;104,301;37404;3901260,5;252;
2017-11-29;104,75;105,25;105,00;105,25;104,25;105,25;104,741;16734;1752738;237;
2017-11-28;104,50;104,75;105,00;105,25;104,25;104,50;104,68;13352;1397681;272;
2017-11-27;104,50;105,00;105,25;106,25;104,50;105,00;105,206;18762;1973877,5;351;
2017-11-24;105,25;105,50;106,50;106,50;105,25;105,25;105,748;17086;1806813;332;
2017-11-23;106,25;106,50;109,00;109,00;105,75;106,50;106,286;8670;921497;217;
2017-11-22;105,75;106,75;108,00;109,75;105,50;105,75;107,813;19942;2150014,5;195;
2017-11-21;107,50;108,00;106,50;108,75;106,25;108,00;107,457;10924;1173865;189;
